Topic,Words,Frequency,Class
66,"paso, trump, shooting, white, gun",0.003373313343328336,the new york times
67,"somalia, somali, shabab, kenya, mogadishu",0.003373313343328336,the new york times
68,"drug, trump, racist, conservative, gun",0.003373313343328336,the new york times
69,"padilla, hassoun, court, jose, dirty",0.0031859070464767617,the new york times
70,"israel, palestinian, peace, editor, palestine",0.00356071964017991,the new york times
71,"iran, court, lawsuit, victim, judgment",0.003373313343328336,the new york times
72,"iran, report, group, iranian, terrorist",0.002623688155922039,the new york times
73,"city, york, new, blasio, bomb",0.00356071964017991,the new york times
74,"intelligence, order, agency, casey, clarridge",0.0037481259370314842,the new york times
75,"trump, refugee, muslim, voter, percent",0.0037481259370314842,the new york times
76,"colombia, maduro, drug, colombian, escobar",0.0029985007496251873,the new york times
77,"convertino, detroit, case, prosecution, department",0.002623688155922039,the new york times
78,"iraq, bush, war, president, saddam",0.0020614692653673165,the new york times
79,"bombing, oklahoma, glass, building, bomb",0.0031859070464767617,the new york times
80,"sweden, akilov, stockholm, swedish, finland",0.003373313343328336,the new york times
81,"european, union, europe, data, swift",0.003373313343328336,the new york times
82,"israel, israeli, lebanon, palestinian, lebanese",0.0028110944527736134,the new york times
83,"qatar, bahrain, sheikh, tillerson, emir",0.0029985007496251873,the new york times
84,"kerry, bush, campaign, clark, john",0.0020614692653673165,the new york times
85,"clinton, laden, bin, american, united",0.0018740629685157421,the new york times
86,"sri, tamil, lanka, sinhalese, nandakumar",0.0028110944527736134,the new york times
87,"rahman, abdel, sheik, nosair, indictment",0.002623688155922039,the new york times
88,"abortion, clinic, dear, webster, parenthood",0.0022488755622188904,the new york times
89,"soviet, union, moscow, intelligence, webster",0.0031859070464767617,the new york times
90,"zazi, badat, yousef, shabab, khan",0.0029985007496251873,the new york times
91,"craxi, libya, italy, italian, libyan",0.0028110944527736134,the new york times
92,"ruqai, bin, laden, ghaith, abu",0.002623688155922039,the new york times
93,"nato, alliance, trump, european, stoltenberg",0.0024362818590704647,the new york times
94,"drone, strike, brennan, qaida, use",0.0020614692653673165,the new york times
95,"travel, booking, tour, airline, trip",0.0028110944527736134,the new york times
96,"rome, airport, american, vienna, plane",0.0024362818590704647,the new york times
