colocate,label,score_normalized,score
france,1980 - 1985,1.1071795878298744e-05,4.7915743176389824
full,1980 - 1985,9.381699592838317e-06,4.060146277891417
general,1980 - 1985,2.794556082988551e-07,0.1209408419703204
generally,1980 - 1985,2.2137358238566004e-05,9.580450936978924
get,1980 - 1985,4.52068538656795e-09,0.0019564305768011
go,1980 - 1985,5.615896482989904e-06,2.43040836863299
got,1980 - 1985,7.313211368363255e-06,3.1649604235206708
government,1980 - 1985,6.44565736470453e-05,27.895064746952738
graphic,1980 - 1985,3.152987241163424e-05,13.645277473200183
gross,1980 - 1985,5.072615877236935e-05,21.9529119103946
ground,1980 - 1985,1.211240093637523e-05,5.241920090437918
group,1980 - 1985,1.8746912179624708e-05,8.113157424712723
grow,1980 - 1985,2.0191764276693128e-05,8.738450401317316
growth,1980 - 1985,1.5229207449961924e-05,6.5907897957423724
guerrilla,1980 - 1985,1.734364215240888e-06,0.7505860045224448
halt,1980 - 1985,4.74677703369413e-05,20.5427693720291
hand,1980 - 1985,1.7823015103884498e-06,0.7713319715553405
head,1980 - 1985,2.495874110715268e-07,0.1080146926516578
headline,1980 - 1985,1.9999993042636392e-05,8.655456989040879
hearing,1980 - 1985,7.313211368363255e-06,3.1649604235206708
held,1980 - 1985,2.578169006990198e-06,1.115761935662169
help,1980 - 1985,2.1246566772082113e-06,0.9194940441654292
